Data Date (UTC),City ID Number,City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
1557551227,672016,Ocnita,RO,44.98,25.55,51.37,100,91,1.12
1557551355,4005370,Guadalupe y Calvo,MX,26.09,-106.96,42.47,97,1,4.63
1557551355,97783,Bayji,IQ,34.93,43.49,78.83,21,0,7.11
1557550931,3573374,The Valley,AI,18.22,-63.06,78.28,83,40,11.41
1557551356,741160,Oltu,TR,40.55,42.0,53.27,44,32,5.88
1557551348,2656847,Atherton,GB,53.52,-2.49,39.9,100,20,5.82
1557551357,1513990,Gazli,UZ,40.13,63.45,92.33,9,0,4.34
1557551311,3042661,Zagyvaszanto,HU,47.78,19.67,50.36,100,0,3.36
1557548400,299900,Talas,TR,38.69,35.55,48.2,76,75,5.06
1557551358,88533,Awjilah,LY,29.14,21.3,72.53,47,0,16.11
1557549000,3382160,Cayenne,GF,4.94,-52.33,80.6,83,90,9.17
1557550865,3591210,Pochuta,GT,14.55,-91.08,58.96,82,75,9.17
1557551359,2038342,Beipiao,CN,41.8,120.76,78.65,18,10,15.14
1557549000,1490796,Strezhevoy,RU,60.73,77.6,50.0,43,0,11.18
1557550818,3427833,Tandil,AR,-37.33,-59.14,55.0,89,94,13.0
1557547200,3683778,El Molino,CO,10.65,-72.92,78.8,78,40,11.41
1557547200,1805757,Jimo,CN,36.39,120.46,75.2,50,0,8.95
1557551107,778362,Oksfjord,NO,70.24,22.35,42.85,81,75,25.28
1557551343,380348,Abu Zabad,SD,12.35,29.25,88.91,10,38,17.83
1557551362,3354071,Oranjemund,ZA,-28.55,16.43,64.43,61,0,5.7
1557551362,2132606,Samarai,PG,-10.62,150.67,83.33,51,55,7.0
